,Year,Player,Tgt,Rec,Rec Yds,Rec Y/R,Rec TD,Rec 1D,Rec Lng,R/G,Rec Y/G,Ctch%,Y/Tgt,Rush,Rush Yds,Rush TD,Rush 1D,Rush Lng,Rush Y/A,Rush Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV
35,2015,Gary Barnidge,125,79,1043,13.2,9,52,40,4.9,65.2,0.632,8.3,0,0,0,0,0,0,0,0,79,13.2,1043,9,0,6
36,2016,Rob Gronkowski,38,25,540,21.6,3,20,53,3.1,67.5,0.657894737,14.2,0,0,0,0,0,0,0,0,25,21.6,540,3,0,5
37,2016,Travis Kelce,117,85,1125,13.2,4,55,80,5.3,70.3,0.726495726,9.6,1,-5,0,0,-5,-5,-0.3,0.1,86,13,1120,4,0,10
38,2016,Jordan Reed,89,66,686,10.4,6,41,33,5.5,57.2,0.741573034,7.7,0,0,0,0,0,0,0,0,66,10.4,686,6,1,6
39,2016,Greg Olsen,129,80,1073,13.4,3,54,78,5,67.1,0.620155039,8.3,0,0,0,0,0,0,0,0,80,13.4,1073,3,0,8
40,2016,Delanie Walker,102,65,800,12.3,7,35,47,4.3,53.3,0.637254902,7.8,2,11,0,0,8,5.5,0.7,0.1,67,12.1,811,7,1,7
41,2017,Rob Gronkowski,105,69,1084,15.7,8,57,53,4.9,77.4,0.657142857,10.3,0,0,0,0,0,0,0,0,69,15.7,1084,8,1,13
42,2017,Travis Kelce,122,83,1038,12.5,8,53,44,5.5,69.2,0.680327869,8.5,2,7,0,2,4,3.5,0.5,0.1,85,12.3,1045,8,0,10
43,2017,Zach Ertz,110,74,824,11.1,8,46,53,5.3,58.9,0.672727273,7.5,0,0,0,0,0,0,0,0,74,11.1,824,8,1,8
44,2017,Delanie Walker,111,74,807,10.9,3,44,42,4.6,50.4,0.666666667,7.3,2,-2,1,1,1,-1,-0.1,0.1,76,10.6,805,4,2,7
45,2017,Jimmy Graham,96,57,520,9.1,10,34,33,3.6,32.5,0.59375,5.4,0,0,0,0,0,0,0,0,57,9.1,520,10,0,4
46,2018,Travis Kelce,150,103,1336,13,10,75,43,6.4,83.5,0.686666667,8.9,0,0,0,0,0,0,0,0,103,13,1336,10,2,14
47,2018,George Kittle,136,88,1377,15.6,5,60,85,5.5,86.1,0.647058824,10.1,1,10,0,1,10,10,0.6,0.1,89,15.6,1387,5,0,10
48,2018,Zach Ertz,156,116,1163,10,8,72,34,7.3,72.7,0.743589744,7.5,0,0,0,0,0,0,0,0,116,10,1163,8,1,9
49,2018,Eric Ebron,110,66,750,11.4,13,44,53,4.1,46.9,0.6,6.8,3,-8,1,1,2,-2.7,-0.5,0.2,69,10.8,742,14,1,7
50,2019,George Kittle,107,85,1053,12.4,5,53,61,6.1,75.2,0.794392523,9.8,5,22,0,1,18,4.4,1.6,0.4,90,11.9,1075,5,1,11
51,2019,Travis Kelce,136,97,1229,12.7,5,65,47,6.1,76.8,0.713235294,9,1,4,1,1,4,4,0.3,0.1,98,12.6,1233,6,1,13
52,2019,Zach Ertz,135,88,916,10.4,6,50,30,5.9,61.1,0.651851852,6.8,0,0,0,0,0,0,0,0,88,10.4,916,6,1,7
53,2019,Darren Waller,117,90,1145,12.7,3,53,75,5.6,71.6,0.769230769,9.8,2,5,0,0,7,2.5,0.3,0.1,92,12.5,1150,3,1,8
54,2020,Travis Kelce,145,105,1416,13.5,11,79,45,7,94.4,0.724137931,9.8,0,0,0,0,0,0,0,0,105,13.5,1416,11,1,12
55,2020,Darren Waller,145,107,1196,11.2,9,69,38,6.7,74.8,0.737931034,8.2,0,0,0,0,0,0,0,0,107,11.2,1196,9,2,11
56,2020,George Kittle,63,48,634,13.2,2,32,44,6,79.3,0.761904762,10.1,2,17,0,1,9,8.5,2.1,0.3,50,13,651,2,0,5
57,2020,T. J. Hockenson,101,67,723,10.8,6,40,51,4.2,45.2,0.663366337,7.2,1,0,0,0,0,0,0,0.1,68,10.6,723,6,1,6
