Year,Player,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV
2012,Justin Smith,0,0,0,0,2,0,0,1,0,0,3.0,66,47,19,9,10,0,13
2012,Julius Peppers,0,0,0,0,2,1,0,4,6,0,11.5,39,32,7,13,15,0,17
2012,Jason Pierre-Paul,1,28,1,28,5,1,0,1,10,0,6.5,66,43,23,13,10,0,10
2012,Jared Allen,0,0,0,0,3,1,0,1,0,0,12.0,46,36,10,17,21,0,10
2012,Mario Williams,0,0,0,0,4,2,0,2,0,0,10.5,46,37,9,12,15,0,7
2012,Robert Mathis,1,1,0,1,2,1,0,0,0,0,8.0,33,22,11,9,13,0,8
2012,Dwight Freeney,0,0,0,0,1,1,0,0,0,0,5.0,12,10,2,7,12,0,6
2013,J. J. Watt,0,0,0,0,7,4,0,2,0,0,10.5,80,65,15,22,46,0,17
2013,Robert Quinn,0,0,0,0,1,7,0,2,33,1,19.0,57,50,7,23,34,0,16
2013,Mario Williams,0,0,0,0,3,1,0,0,0,0,13.0,38,28,10,15,16,0,13
2013,Muhammad Wilkerson,1,6,0,6,3,2,0,0,0,0,10.5,63,43,20,13,18,0,13
2013,Greg Hardy,0,0,0,0,1,1,0,0,0,0,15.0,59,39,20,17,29,0,15
2013,Cameron Wake,0,0,0,0,0,2,0,1,0,0,8.5,37,29,8,8,21,1,10
2013,Jared Allen,0,0,0,0,6,2,0,0,0,0,11.5,52,33,19,13,26,0,6
2013,Justin Smith,0,0,0,0,0,1,0,0,0,0,6.5,49,32,17,9,16,0,14
2013,Cameron Jordan,0,0,0,0,4,2,0,2,11,0,12.5,47,29,18,13,23,0,13
2014,J.J. Watt,1,80,1,80,10,4,0,5,59,1,20.5,78,59,19,29,51,1,23
2014,Cameron Wake,0,0,0,0,3,3,0,1,0,0,11.5,38,32,6,8,22,0,11
2014,Mario Williams,0,0,0,0,2,2,0,0,0,0,14.5,42,36,6,19,18,0,19
2014,Robert Quinn,0,0,0,0,6,5,0,0,0,0,10.5,46,39,7,13,20,0,12
2014,Sheldon Richardson,0,0,0,0,1,1,0,1,0,0,8.0,67,42,25,11,21,1,11
2014,Jerry Hughes,0,0,0,0,0,3,0,1,18,1,10.0,53,36,17,13,20,0,10
