,Year,Player,Tgt,Rec,Rec Yds,Rec Y/R,Rec TD,Rec 1D,Rec Lng,R/G,Rec Y/G,Ctch%,Y/Tgt,Rush,Rush Yds,Rush TD,Rush 1D,Rush Lng,Rush Y/A,Rush Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV
0,2010,Andre Johnson,138,86,1216,14.1,8,59,60,6.6,93.5,0.623188406,8.8,2,10,0,1,7,5,0.8,0.2,88,13.9,1226,8,1,13
1,2010,Larry Fitzgerald,173,90,1137,12.6,6,58,41,5.6,71.1,0.520231214,6.6,0,0,0,0,0,0,0,0,90,12.6,1137,6,0,7
2,2010,Roddy White,179,115,1389,12.1,10,73,46,7.2,86.8,0.642458101,7.8,1,3,0,0,3,3,0.2,0.1,116,12,1392,10,1,16
3,2010,Calvin Johnson,137,77,1120,14.5,12,54,87,5.1,74.7,0.562043796,8.2,4,32,0,2,15,8,2.1,0.3,81,14.2,1152,12,1,10
4,2010,DeSean Jackson,95,47,1056,22.5,6,32,91,3.4,75.4,0.494736842,11.1,16,104,1,5,31,6.5,7.4,1.1,63,18.4,1160,7,4,11
5,2010,Reggie Wayne,175,111,1355,12.2,6,72,50,6.9,84.7,0.634285714,7.7,0,0,0,0,0,0,0,0,111,12.2,1355,6,1,13
6,2010,Dwayne Bowe,133,72,1162,16.1,15,55,75,4.5,72.6,0.541353383,8.7,1,4,0,0,4,4,0.3,0.1,73,16,1166,15,1,13
7,2010,Wes Welker,123,86,848,9.9,7,47,35,5.7,56.5,0.699186992,6.9,0,0,0,0,0,0,0,0,86,9.9,848,7,1,11
8,2010,Marques Colston,131,84,1023,12.2,7,57,43,5.6,68.2,0.641221374,7.8,1,1,0,0,1,1,0.1,0.1,85,12,1024,7,0,9
9,2010,Brandon Lloyd,153,77,1448,18.8,11,72,71,4.8,90.5,0.503267974,9.5,1,-18,0,0,-18,-18,-1.1,0.1,78,18.3,1430,11,0,12
10,2010,Brandon Marshall,146,86,1014,11.8,3,56,46,6.1,72.4,0.589041096,6.9,2,3,0,0,4,1.5,0.2,0.1,88,11.6,1017,3,2,6
11,2010,Miles Austin,119,69,1041,15.1,7,46,69,4.3,65.1,0.579831933,8.7,7,93,1,3,60,13.3,5.8,0.4,76,14.9,1134,8,1,10
12,2010,Greg Jennings,125,76,1265,16.6,12,51,86,4.8,79.1,0.608,10.1,1,-1,0,0,-1,-1,-0.1,0.1,77,16.4,1264,12,2,11
13,2010,Santonio Holmes,96,52,746,14.3,6,35,52,4.3,62.2,0.541666667,7.8,2,17,0,0,14,8.5,1.4,0.2,54,14.1,763,6,2,6
14,2010,Mike Williams,129,65,964,14.8,11,44,58,4.1,60.3,0.503875969,7.5,0,0,0,0,0,0,0,0,65,14.8,964,11,3,9
15,2010,Terrell Owens,139,72,983,13.7,9,47,78,5.1,70.2,0.517985612,7.1,0,0,0,0,0,0,0,0,72,13.7,983,9,0,8
16,2011,Calvin Johnson,158,96,1681,17.5,16,76,73,6,105.1,0.607594937,10.6,1,11,0,0,11,11,0.7,0.1,97,17.4,1692,16,1,15
17,2011,Larry Fitzgerald,154,80,1411,17.6,8,60,73,5,88.2,0.519480519,9.2,0,0,0,0,0,0,0,0,80,17.6,1411,8,0,10
