"","Player","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"46","Tony Gonzalez","46_ATL_TE","53_ATL_TE","47_ATL_TE",NA,NA,NA,NA,NA,NA,NA,NA
"47","Nick Mangold","47_NYJ_C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Champ Bailey","48_DEN_CB","46_DEN_CB","53_DEN_CB",NA,NA,NA,NA,NA,NA,NA,NA
"49","Brian Urlacher","49_CHI_LB","51_CHI_LB",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Wes Welker","50_NE_WR","23_NE_WR","44_NE_WR","73_DEN_WR",NA,NA,NA,NA,NA,NA,NA
"51","Ndamukong Suh","51_DET_DT","38_DET_DT","40_DET_DT","40_DET_DT","24_DET_DT","40_MIA_DT","55_MIA_DT","61_MIA_DT",NA,NA,NA
"52","Matt Ryan","52_ATL_QB",NA,"17_ATL_QB",NA,"77_ATL_QB",NA,"10_ATL_QB","29_ATL_QB","69_ATL_QB",NA,NA
"53","Marques Colston","53_NOR_WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Asante Samuel","54_PHI_CB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Carl Nicks","55_NOR_G","76_NOR_G",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Ray Rice","56_BAL_RB","22_BAL_RB","13_BAL_RB",NA,NA,NA,NA,NA,NA,NA,NA
"57","Andre Gurode","57_DAL_C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Brandon Lloyd","58_DEN_WR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Jeff Saturday","59_IND_C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Justin Tuck","60_NYG_DE","62_NYG_DE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Brandon Marshall","61_MIA_WR",NA,"27_CHI_WR","36_CHI_WR","57_CHI_WR","25_NYJ_WR",NA,NA,NA,NA,NA
"62","Jerod Mayo","62_NE_LB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
