"","Player","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"213","Jeremy Maclin",NA,NA,NA,NA,"61_PHI_WR","93_KC_WR",NA,NA,NA,NA,NA
"214","Jerry Hughes",NA,NA,NA,NA,"63_BUF_DE",NA,NA,NA,NA,NA,NA
"215","Justin Forsett",NA,NA,NA,NA,"65_BAL_RB",NA,NA,NA,NA,NA,NA
"216","Tashaun Gipson",NA,NA,NA,NA,"67_CLV_S",NA,NA,NA,NA,NA,NA
"217","Bobby Wagner",NA,NA,NA,NA,"69_SEA_LB",NA,"39_SEA_LB","21_SEA_LB","15_SEA_LB","13_SEA_LB","25_SEA_LB"
"218","Mike Evans",NA,NA,NA,NA,"75_TB_WR",NA,"29_TB_WR",NA,"53_TB_WR","30_TB_WR","48_TB_WR"
"219","Sen'Derrick Marks",NA,NA,NA,NA,"76_JAX_DT",NA,NA,NA,NA,NA,NA
"220","Ryan Kerrigan",NA,NA,NA,NA,"78_WAS_LB",NA,NA,NA,NA,NA,NA
"221","Golden Tate",NA,NA,NA,NA,"85_DET_WR",NA,NA,NA,NA,NA,NA
"222","Glover Quin",NA,NA,NA,NA,"88_DET_S",NA,NA,NA,NA,NA,NA
"223","Greg Olsen",NA,NA,NA,NA,"89_CAR_TE","38_CAR_TE","67_CAR_TE",NA,NA,NA,NA
"224","Michael Bennett",NA,NA,NA,NA,"90_SEA_DE","59_SEA_DE","46_SEA_DE",NA,NA,NA,NA
"225","Julian Edelman",NA,NA,NA,NA,"91_NE_WR","87_NE_WR","71_NE_WR",NA,"90_NE_WR",NA,NA
"226","Aaron Donald",NA,NA,NA,NA,"92_LAR_DT","14_LAR_DT","15_LAR_DT","7_LAR_DT","1_LAR_DT","3_LAR_DT","2_LAR_DT"
"227","C. J. Mosley",NA,NA,NA,NA,"94_BAL_LB",NA,NA,"98_BAL_LB","71_BAL_LB",NA,NA
"228","Emmanuel Sanders",NA,NA,NA,NA,"95_DEN_WR","74_DEN_WR",NA,NA,NA,NA,NA
"229","Jurrell Casey",NA,NA,NA,NA,"96_TEN_DE",NA,"86_TEN_DT","66_TEN_DT","92_TEN_DE","71_TEN_DT",NA
"230","Adam Vinatieri",NA,NA,NA,NA,"98_IND_K",NA,NA,NA,NA,NA,NA
"231","Calais Campbell",NA,NA,NA,NA,"99_ARI_DE","71_ARI_DE","83_ARI_DE","14_JAX_DE","54_JAX_DE","79_JAX_DE",NA
"232","Randall Cobb",NA,NA,NA,NA,"100_GB_WR",NA,NA,NA,NA,NA,NA
"233","JJ Watt",NA,NA,NA,NA,NA,"3_HOU_DE",NA,NA,NA,NA,NA
"234","Josh Norman",NA,NA,NA,NA,NA,"11_CAR_CB","59_WAS_CB",NA,NA,NA,NA
"235","Carson Palmer",NA,NA,NA,NA,NA,"12_ARI_QB",NA,NA,NA,NA,NA
"236","A.J. Green",NA,NA,NA,NA,NA,"16_CIN_WR","17_CIN_WR",NA,NA,NA,NA
"237","DeAndre Hopkins",NA,NA,NA,NA,NA,"19_HOU_WR",NA,"13_HOU_WR","11_HOU_WR","8_HOU_WR","8_ARI_WR"
"238","Todd Gurley",NA,NA,NA,NA,NA,"22_LAR_RB",NA,"6_LAR_RB","5_LAR_RB","51_LAR_RB",NA
"239","Tyrann Mathieu",NA,NA,NA,NA,NA,"28_ARI_S",NA,NA,NA,"39_KC_S","58_KC_S"
"240","Allen Robinson",NA,NA,NA,NA,NA,"31_JAX_WR",NA,NA,NA,"93_CHI_WR","87_CHI_WR"
"241","Andy Dalton",NA,NA,NA,NA,NA,"35_CIN_QB",NA,NA,NA,NA,NA
"242","Ezekiel Ansah",NA,NA,NA,NA,NA,"43_DET_DE",NA,NA,NA,NA,NA
"243","Tyler Eifert",NA,NA,NA,NA,NA,"44_CIN_TE",NA,NA,NA,NA,NA
"244","Chandler Jones",NA,NA,NA,NA,NA,"48_NE_DE","85_ARI_LB","28_ARI_DE",NA,"15_ARI_LB",NA
"245","Fletcher Cox",NA,NA,NA,NA,NA,"49_PHI_DT","38_PHI_DT","69_PHI_DT","28_PHI_DT","73_PHI_DT","63_PHI_DT"
"246","Devonta Freeman",NA,NA,NA,NA,NA,"50_ATL_RB","41_ATL_RB","70_ATL_RB",NA,NA,NA
"247","Chris Harris Jr.",NA,NA,NA,NA,NA,"52_DEN_CB","63_DEN_CB","86_DEN_CB",NA,NA,NA
"248","Thomas Davis Sr.",NA,NA,NA,NA,NA,"54_CAR_LB",NA,NA,NA,NA,NA
"249","Blake Bortles",NA,NA,NA,NA,NA,"56_JAX_QB",NA,NA,NA,NA,NA
"250","Kawann Short",NA,NA,NA,NA,NA,"58_CAR_DT",NA,NA,NA,NA,NA
"251","Reggie Nelson",NA,NA,NA,NA,NA,"60_CIN_S",NA,NA,NA,NA,NA
"252","Reshad Jones",NA,NA,NA,NA,NA,"64_MIA_S",NA,NA,NA,NA,NA
"253","Marcus Peters",NA,NA,NA,NA,NA,"65_KC_CB","32_KC_CB","79_KC_CB",NA,"53_BAL_CB",NA
"254","Andrew Whitworth",NA,NA,NA,NA,NA,"67_CIN_OT",NA,"87_LAR_OT","91_LAR_OT",NA,NA
"255","T.J. Ward",NA,NA,NA,NA,NA,"68_DEN_S",NA,NA,NA,NA,NA
"256","Carlos Dunlap",NA,NA,NA,NA,NA,"70_CIN_DE",NA,NA,NA,NA,NA
"257","Doug Baldwin",NA,NA,NA,NA,NA,"72_SEA_WR","88_SEA_WR","99_SEA_WR",NA,NA,NA
"258","Harrison Smith",NA,NA,NA,NA,NA,"73_MIN_S","74_MIN_S","46_MIN_S","83_MIN_S","64_MIN_S",NA
"259","Linval Joseph",NA,NA,NA,NA,NA,"76_MIN_DT",NA,"83_MIN_DT",NA,NA,NA
"260","Jordan Reed",NA,NA,NA,NA,NA,"77_WAS_TE","65_WAS_TE",NA,NA,NA,NA
"261","Chris Ivory",NA,NA,NA,NA,NA,"78_NYJ_RB",NA,NA,NA,NA,NA
"262","Alex Smith",NA,NA,NA,NA,NA,"81_KC_QB","81_KC_QB",NA,NA,NA,NA
"263","Delanie Walker",NA,NA,NA,NA,NA,"82_TEN_TE","75_TEN_TE","72_TEN_TE",NA,NA,NA
"264","Telvin Smith",NA,NA,NA,NA,NA,"83_JAX_LB",NA,"67_JAX_LB",NA,NA,NA
"265","Kirk Cousins",NA,NA,NA,NA,NA,"85_WAS_QB","70_WAS_QB","94_WAS_QB","78_MIN_QB","58_MIN_QB",NA
"266","Jonathan Stewart",NA,NA,NA,NA,NA,"86_CAR_RB",NA,NA,NA,NA,NA
"267","Cameron Heyward",NA,NA,NA,NA,NA,"88_PIT_DE",NA,"48_PIT_DE","88_PIT_DE","84_PIT_DT","57_PIT_DT"
"268","Allen Hurns",NA,NA,NA,NA,NA,"89_JAX_WR",NA,NA,NA,NA,NA
"269","Travis Kelce",NA,NA,NA,NA,NA,"91_KC_TE","26_KC_TE","24_KC_TE","21_KC_TE","18_KC_TE","5_KC_TE"
"270","Gary Barnidge",NA,NA,NA,NA,NA,"94_CLV_TE",NA,NA,NA,NA,NA
"271","Mike Daniels",NA,NA,NA,NA,NA,"95_GB_DT","84_GB_DT","93_GB_DE",NA,NA,NA
"272","Sammy Watkins",NA,NA,NA,NA,NA,"96_BUF_WR",NA,NA,NA,NA,NA
"273","Richie Incognito",NA,NA,NA,NA,NA,"97_BUF_G",NA,NA,NA,NA,NA
"274","Jarvis Landry",NA,NA,NA,NA,NA,"98_MIA_WR","42_MIA_WR","52_MIA_WR","84_CLV_WR","61_CLV_WR","94_CLV_WR"
"275","Derek Carr",NA,NA,NA,NA,NA,"100_LV_QB","11_LV_QB","60_LV_QB",NA,NA,NA
"276","Ezekiel Elliott",NA,NA,NA,NA,NA,NA,"7_DAL_RB","54_DAL_RB","18_DAL_RB","24_DAL_RB",NA
"277","David Johnson",NA,NA,NA,NA,NA,NA,"12_ARI_RB",NA,NA,NA,NA
"278","Dak Prescott",NA,NA,NA,NA,NA,NA,"14_DAL_QB",NA,NA,"46_DAL_QB",NA
"279","Landon Collins",NA,NA,NA,NA,NA,NA,"28_NYG_S","92_NYG_S",NA,NA,NA
"280","Tyreek Hill",NA,NA,NA,NA,NA,NA,"36_KC_WR","40_KC_WR","19_KC_WR","22_KC_WR","15_KC_WR"
"281","Vic Beasley",NA,NA,NA,NA,NA,NA,"40_ATL_LB",NA,NA,NA,NA
"282","Jadeveon Clowney",NA,NA,NA,NA,NA,NA,"49_HOU_DE","32_HOU_DE","63_HOU_LB","41_SEA_DE",NA
"283","Marcus Mariota",NA,NA,NA,NA,NA,NA,"50_TEN_QB",NA,NA,NA,NA
"284","Amari Cooper",NA,NA,NA,NA,NA,NA,"53_LV_WR",NA,"64_DAL_WR","49_DAL_WR",NA
"285","Janoris Jenkins",NA,NA,NA,NA,NA,NA,"54_NYG_CB",NA,NA,NA,NA
"286","Cliff Avril",NA,NA,NA,NA,NA,NA,"56_SEA_DE",NA,NA,NA,NA
"287","Jameis Winston",NA,NA,NA,NA,NA,NA,"57_TB_QB",NA,NA,NA,NA
"288","Zack Martin",NA,NA,NA,NA,NA,NA,"58_DAL_G","71_DAL_G","59_DAL_G","55_DAL_G","85_DAL_G"
"289","Casey Hayward",NA,NA,NA,NA,NA,NA,"64_LAC_CB","59_LAC_CB",NA,NA,NA
"290","Xavier Rhodes",NA,NA,NA,NA,NA,NA,"66_MIN_CB","55_MIN_CB",NA,NA,NA
"291","Jay Ajayi",NA,NA,NA,NA,NA,NA,"69_MIA_RB",NA,NA,NA,NA
"292","Taylor Lewan",NA,NA,NA,NA,NA,NA,"72_TEN_OT","78_TEN_OT","77_TEN_OT",NA,NA
"293","Ha Ha Clinton-Dix",NA,NA,NA,NA,NA,NA,"77_GB_S","100_GB_S",NA,NA,NA
"294","Brian Orakpo",NA,NA,NA,NA,NA,NA,"78_TEN_LB",NA,NA,NA,NA
"295","Sean Lee",NA,NA,NA,NA,NA,NA,"79_DAL_LB",NA,NA,NA,NA
"296","LeGarrette Blount",NA,NA,NA,NA,NA,NA,"80_NE_RB",NA,NA,NA,NA
"297","Travis Frederick",NA,NA,NA,NA,NA,NA,"87_DAL_C",NA,NA,NA,NA
"298","Thomas Davis",NA,NA,NA,NA,NA,NA,"89_CAR_LB","73_CAR_LB",NA,NA,NA
"299","Malcolm Jenkins",NA,NA,NA,NA,NA,NA,"90_PHI_S","96_PHI_S",NA,NA,NA
"300","Lorenzo Alexander",NA,NA,NA,NA,NA,NA,"91_BUF_LB",NA,NA,NA,NA
"301","Everson Griffen",NA,NA,NA,NA,NA,NA,"92_MIN_DE","19_MIN_DE",NA,NA,NA
"302","Brandon Graham",NA,NA,NA,NA,NA,NA,"93_PHI_DE",NA,NA,NA,"99_PHI_DE"
"303","Dont'a Hightower",NA,NA,NA,NA,NA,NA,"94_NE_LB",NA,NA,NA,NA
"304","Kelechi Osemele",NA,NA,NA,NA,NA,NA,"95_LV_G",NA,NA,NA,NA
"305","Damon Harrison",NA,NA,NA,NA,NA,NA,"96_NYG_DT",NA,NA,NA,NA
"306","David DeCastro",NA,NA,NA,NA,NA,NA,"97_PIT_G","44_PIT_G",NA,NA,NA
"307","Malcolm Butler",NA,NA,NA,NA,NA,NA,"99_NE_CB",NA,NA,NA,NA
"308","Joey Bosa",NA,NA,NA,NA,NA,NA,"100_LAC_DE","37_LAC_DE","56_LAC_DE","34_LAC_DE","32_LAC_DE"
"309","Carson Wentz",NA,NA,NA,NA,NA,NA,NA,"3_PHI_QB","96_PHI_QB",NA,NA
"310","Jalen Ramsey",NA,NA,NA,NA,NA,NA,NA,"17_JAX_CB","27_JAX_CB","37_JAX_CB","13_LAR_CB"
"311","Alvin Kamara",NA,NA,NA,NA,NA,NA,NA,"20_NOR_RB","14_NOR_RB","42_NOR_RB","14_NOR_RB"
"312","Kareem Hunt",NA,NA,NA,NA,NA,NA,NA,"33_KC_RB",NA,NA,NA
"313","DeMarcus Lawrence",NA,NA,NA,NA,NA,NA,NA,"34_DAL_DE","45_DAL_DE",NA,NA
"314","A. J. Bouye",NA,NA,NA,NA,NA,NA,NA,"35_JAX_CB",NA,NA,NA
"315","Adam Thielen",NA,NA,NA,NA,NA,NA,NA,"36_MIN_WR","33_MIN_WR",NA,"80_MIN_WR"
"316","Jared Goff",NA,NA,NA,NA,NA,NA,NA,"38_LAR_QB","32_LAR_QB",NA,NA
"317","Keenan Allen",NA,NA,NA,NA,NA,NA,NA,"41_LAC_WR","38_LAC_WR","77_LAC_WR","55_LAC_WR"
"318","Mark Ingram",NA,NA,NA,NA,NA,NA,NA,"43_NOR_RB","80_NOR_RB","44_BAL_RB",NA
"319","Davante Adams",NA,NA,NA,NA,NA,NA,NA,"45_GB_WR","35_GB_WR","57_GB_WR","6_GB_WR"
"320","Ryan Shazier",NA,NA,NA,NA,NA,NA,NA,"47_PIT_LB",NA,NA,NA
"321","Darius Slay",NA,NA,NA,NA,NA,NA,NA,"49_DET_CB","86_DET_CB","92_DET_CB",NA
"322","Deshaun Watson",NA,NA,NA,NA,NA,NA,NA,"50_HOU_QB","51_HOU_QB","20_HOU_QB","18_HOU_QB"
"323","Case Keenum",NA,NA,NA,NA,NA,NA,NA,"51_MIN_QB",NA,NA,NA
"324","Leonard Fournette",NA,NA,NA,NA,NA,NA,NA,"58_JAX_RB",NA,NA,NA
"325","Micah Hyde",NA,NA,NA,NA,NA,NA,NA,"62_BUF_S",NA,NA,NA
"326","Stefon Diggs",NA,NA,NA,NA,NA,NA,NA,"65_MIN_WR","73_MIN_WR","54_MIN_WR","11_BUF_WR"
"327","Zach Ertz",NA,NA,NA,NA,NA,NA,NA,"68_PHI_TE","40_PHI_TE","85_PHI_TE",NA
"328","Melvin Ingram",NA,NA,NA,NA,NA,NA,NA,"76_LAC_DE","48_LAC_DE",NA,NA
"329","Kevin Byard",NA,NA,NA,NA,NA,NA,NA,"80_TEN_S",NA,NA,NA
"330","Michael Thomas",NA,NA,NA,NA,NA,NA,NA,"81_NOR_WR","13_NOR_WR","5_NOR_WR","72_NOR_WR"
"331","Marshon Lattimore",NA,NA,NA,NA,NA,NA,NA,"82_NOR_CB",NA,"76_NOR_CB","86_NOR_CB"
"332","Bruce Irvin",NA,NA,NA,NA,NA,NA,NA,"85_LV_DE",NA,NA,NA
"333","Yannick Ngakoue",NA,NA,NA,NA,NA,NA,NA,"88_JAX_DE",NA,NA,NA
"334","Jimmy Garoppolo",NA,NA,NA,NA,NA,NA,NA,"90_NE_QB",NA,"43_SF_QB",NA
"335","David Bakhtiari",NA,NA,NA,NA,NA,NA,NA,"91_GB_OT","43_GB_OT","62_GB_OT","36_GB_OT"
"336","Lane Johnson",NA,NA,NA,NA,NA,NA,NA,"95_PHI_OT",NA,NA,NA
"337","Carlos Hyde",NA,NA,NA,NA,NA,NA,NA,"97_SF_RB",NA,NA,NA
"338","Patrick Mahomes",NA,NA,NA,NA,NA,NA,NA,NA,"4_KC_QB","4_KC_QB","1_KC_QB"
"339","Saquon Barkley",NA,NA,NA,NA,NA,NA,NA,NA,"16_NYG_RB","31_NYG_RB",NA
"340","Stephon Gilmore",NA,NA,NA,NA,NA,NA,NA,NA,"22_NE_CB","9_NE_CB","47_NE_CB"
"341","Darius Leonard",NA,NA,NA,NA,NA,NA,NA,NA,"26_IND_LB","50_IND_LB","37_IND_LB"
"342","George Kittle",NA,NA,NA,NA,NA,NA,NA,NA,"29_SF_TE","7_SF_TE","50_SF_TE"
"343","Eddie Jackson",NA,NA,NA,NA,NA,NA,NA,NA,"30_CHI_S",NA,NA
"344","Derwin James",NA,NA,NA,NA,NA,NA,NA,NA,"31_LAC_S",NA,NA
"345","Melvin Gordon",NA,NA,NA,NA,NA,NA,NA,NA,"34_LAC_RB",NA,NA
"346","Chris Jones",NA,NA,NA,NA,NA,NA,NA,NA,"36_KC_DT","52_KC_DT","34_KC_DT"
"347","Jamal Adams",NA,NA,NA,NA,NA,NA,NA,NA,"37_NYJ_S","27_NYJ_S","31_SEA_S"
"348","Akiem Hicks",NA,NA,NA,NA,NA,NA,NA,NA,"39_CHI_DE",NA,NA
"349","Christian McCaffrey",NA,NA,NA,NA,NA,NA,NA,NA,"42_CAR_RB","6_CAR_RB","44_CAR_RB"
"350","JuJu Smith-Schuster",NA,NA,NA,NA,NA,NA,NA,NA,"47_PIT_WR",NA,NA
"351","Myles Garrett",NA,NA,NA,NA,NA,NA,NA,NA,"49_CLV_DE","80_CLV_DE","16_CLV_DE"
"352","Baker Mayfield",NA,NA,NA,NA,NA,NA,NA,NA,"50_CLV_QB",NA,"71_CLV_QB"
"353","Xavien Howard",NA,NA,NA,NA,NA,NA,NA,NA,"55_MIA_CB",NA,"17_MIA_CB"
"354","Danielle Hunter",NA,NA,NA,NA,NA,NA,NA,NA,"57_MIN_DE","40_MIN_DE",NA
"355","Jaylon Smith",NA,NA,NA,NA,NA,NA,NA,NA,"61_DAL_LB","88_DAL_LB",NA
"356","James Conner",NA,NA,NA,NA,NA,NA,NA,NA,"62_PIT_RB",NA,NA
"357","Eric Ebron",NA,NA,NA,NA,NA,NA,NA,NA,"66_IND_TE",NA,NA
"358","Dee Ford",NA,NA,NA,NA,NA,NA,NA,NA,"67_KC_DE",NA,NA
"359","Phillip Lindsay",NA,NA,NA,NA,NA,NA,NA,NA,"68_DEN_RB",NA,NA
"360","T. Y. Hilton",NA,NA,NA,NA,NA,NA,NA,NA,"70_IND_WR",NA,NA
"361","Jason Kelce",NA,NA,NA,NA,NA,NA,NA,NA,"72_PHI_C","94_PHI_C","92_PHI_C"
"362","Leighton Vander Esch",NA,NA,NA,NA,NA,NA,NA,NA,"74_DAL_LB",NA,NA
"363","Robert Woods",NA,NA,NA,NA,NA,NA,NA,NA,"76_LAR_WR",NA,NA
"364","Bradley Chubb",NA,NA,NA,NA,NA,NA,NA,NA,"82_DEN_LB",NA,"40_DEN_LB"
"365","Frank Clark",NA,NA,NA,NA,NA,NA,NA,NA,"85_SEA_DE","95_KC_DE",NA
"366","Devin McCourty",NA,NA,NA,NA,NA,NA,NA,NA,"89_NE_S",NA,NA
"367","T. J. Watt",NA,NA,NA,NA,NA,NA,NA,NA,"93_PIT_LB","25_PIT_LB","9_PIT_LB"
"368","Mitchell Schwartz",NA,NA,NA,NA,NA,NA,NA,NA,"94_KC_OT",NA,NA
"369","Kyle Fuller",NA,NA,NA,NA,NA,NA,NA,NA,"95_CHI_CB",NA,NA
"370","Byron Jones",NA,NA,NA,NA,NA,NA,NA,NA,"97_DAL_CB",NA,NA
"371","Tyler Lockett",NA,NA,NA,NA,NA,NA,NA,NA,"98_SEA_WR","65_SEA_WR","76_SEA_WR"
"372","Derrick Henry",NA,NA,NA,NA,NA,NA,NA,NA,"99_TEN_RB","10_TEN_RB","4_TEN_RB"
"373","Lamar Jackson",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1_BAL_QB","24_BAL_QB"
"374","Nick Bosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"17_SF_DE",NA
"375","Dalvin Cook",NA,NA,NA,NA,NA,NA,NA,NA,NA,"21_MIN_RB","20_MIN_RB"
"376","Quenton Nelson",NA,NA,NA,NA,NA,NA,NA,NA,NA,"29_IND_G","33_IND_G"
"377","Shaquil Barrett",NA,NA,NA,NA,NA,NA,NA,NA,NA,"32_TB_LB","88_TB_LB"
"378","Aaron Jones",NA,NA,NA,NA,NA,NA,NA,NA,NA,"33_GB_RB","30_GB_RB"
"379","Minkah Fitzpatrick",NA,NA,NA,NA,NA,NA,NA,NA,NA,"35_PIT_S","52_PIT_S"
"380","Nick Chubb",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36_CLV_RB","26_CLV_RB"
"381","Chris Godwin",NA,NA,NA,NA,NA,NA,NA,NA,NA,"38_TB_WR","81_TB_WR"
"382","Tre'Davious White",NA,NA,NA,NA,NA,NA,NA,NA,NA,"47_BUF_CB","95_BUF_CB"
"383","Za'Darius Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,"48_GB_LB","51_GB_LB"
"384","DeForest Buckner",NA,NA,NA,NA,NA,NA,NA,NA,NA,"56_SF_DT","27_IND_DT"
"385","Logan Ryan",NA,NA,NA,NA,NA,NA,NA,NA,NA,"60_TEN_CB",NA
"386","Preston Smith",NA,NA,NA,NA,NA,NA,NA,NA,NA,"63_GB_LB",NA
"387","Laremy Tunsil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"66_HOU_OT","75_HOU_OT"
"388","Demario Davis",NA,NA,NA,NA,NA,NA,NA,NA,NA,"67_NOR_LB","64_NOR_LB"
"389","Ryan Tannehill",NA,NA,NA,NA,NA,NA,NA,NA,NA,"68_TEN_QB","83_TEN_QB"
"390","Fred Warner",NA,NA,NA,NA,NA,NA,NA,NA,NA,"70_SF_LB","21_SF_LB"
"391","Josh Jacobs",NA,NA,NA,NA,NA,NA,NA,NA,NA,"72_LV_RB","68_LV_RB"
"392","Ronnie Stanley",NA,NA,NA,NA,NA,NA,NA,NA,NA,"74_BAL_OT",NA
"393","DK Metcalf",NA,NA,NA,NA,NA,NA,NA,NA,NA,"81_SEA_WR","22_SEA_WR"
"394","Ryan Ramczyk",NA,NA,NA,NA,NA,NA,NA,NA,NA,"82_NOR_OT",NA
"395","Eric Kendricks",NA,NA,NA,NA,NA,NA,NA,NA,NA,"83_MIN_LB","70_MIN_LB"
"396","Marlon Humphrey",NA,NA,NA,NA,NA,NA,NA,NA,NA,"86_BAL_CB","38_BAL_CB"
"397","Josh Allen",NA,NA,NA,NA,NA,NA,NA,NA,NA,"87_BUF_QB","10_BUF_QB"
"398","Cooper Kupp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"89_LAR_WR",NA
"399","Kyler Murray",NA,NA,NA,NA,NA,NA,NA,NA,NA,"90_ARI_QB","39_ARI_QB"
"400","Grady Jarrett",NA,NA,NA,NA,NA,NA,NA,NA,NA,"91_ATL_DT","54_ATL_DT"
"401","Chris Carson",NA,NA,NA,NA,NA,NA,NA,NA,NA,"96_SEA_RB",NA
"402","Budda Baker",NA,NA,NA,NA,NA,NA,NA,NA,NA,"97_ARI_S","19_ARI_S"
"403","Brandon Brooks",NA,NA,NA,NA,NA,NA,NA,NA,NA,"98_PHI_G",NA
"404","Darren Waller",NA,NA,NA,NA,NA,NA,NA,NA,NA,"99_LV_TE","35_LV_TE"
"405","Devin White",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28_TB_LB"
"406","Jaire Alexander",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41_GB_CB"
"407","Justin Simmons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"45_DEN_S"
"408","J. C. Jackson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49_NE_CB"
"409","Justin Jefferson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53_MIN_WR"
"410","Justin Herbert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56_LAC_QB"
"411","Corey Linsley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60_GB_C"
"412","Chase Young",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61_WAS_DE"
"413","A. J. Brown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"62_TEN_WR"
"414","Calvin Ridley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65_ATL_WR"
"415","K. J. Wright",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67_SEA_LB"
"416","Ryan Kelly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69_IND_C"
"417","Trey Hendrickson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73_NOR_DE"
"418","James Bradberry",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"74_NYG_CB"
"419","Quandre Diggs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"77_SEA_S"
"420","Jeffery Simmons",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"78_TEN_DT"
"421","Terron Armstead",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79_NOR_OT"
"422","Garett Bolles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"82_DEN_OT"
"423","Leonard Williams",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"84_NYG_DE"
"424","Tristan Wirfs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"89_TB_OT"
"425","Jessie Bates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90_CIN_S"
"426","Corey Davis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"91_TEN_WR"
"427","T. J. Hockenson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"93_DET_TE"
"428","Cole Beasley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"96_BUF_WR"
"429","Kyle Juszczyk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"97_SF_FB"
"430","Brandon Scherff",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"98_WAS_G"
"431","James Robinson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"100_JAX_RB"
